PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75
0.988,0.117,0.006,-0.0,0.0,-0.0,0.005,0.001,-0.009,-0.0,-0.013,0.011,-0.001,-0.0,-0.014,0.002,-0.001,-0.0,-0.001,0.0,-0.0,-0.0,-0.0,0.001,-0.0,0.0,-0.007,0.012,-0.001,0.0,-0.038,0.031,-0.003,-0.0,-0.027,0.027,-0.003,-0.001,0.003,0.007,-0.003,-0.001,-0.009,0.011,-0.003,-0.0,-0.003,-0.0,0.006,-0.002,0.004,0.001,-0.001,0.0,0.004,0.003,-0.001,0.0,-0.009,0.013,-0.003,0.0,-0.028,0.005,-0.006,-0.002,0.008,-0.012,-0.006,-0.003,0.058,-0.036,-0.006,-0.005,-0.0
-0.088,-0.018,-0.002,-0.0,0.0,-0.001,0.0,-0.002,-0.011,0.0,-0.07,0.065,-0.004,0.001,-0.133,0.016,-0.005,-0.001,0.1,0.01,0.001,0.0,0.091,0.016,0.001,0.0,-0.048,0.068,-0.003,0.001,-0.324,0.152,-0.013,0.001,-0.126,0.119,-0.011,-0.001,0.235,0.055,-0.006,-0.004,-0.081,0.066,-0.006,0.001,-0.162,-0.0,0.043,-0.007,0.225,0.011,0.003,0.0,0.204,0.019,0.003,0.0,-0.091,0.068,-0.005,0.001,-0.446,0.022,-0.018,-0.003,-0.062,-0.124,-0.013,-0.007,0.57,-0.183,-0.005,-0.01,-0.0
0.001,-0.011,-0.001,0.0,0.0,0.0,0.001,-0.002,-0.006,0.001,0.04,-0.048,0.002,-0.0,0.064,-0.016,0.002,0.001,0.057,-0.008,0.002,-0.0,0.047,-0.018,0.002,-0.0,0.014,-0.077,0.002,-0.001,0.067,-0.071,0.004,0.003,0.097,-0.087,0.005,0.003,0.087,-0.402,0.005,-0.003,-0.013,-0.048,0.001,-0.0,0.026,0.001,-0.005,0.001,-0.02,-0.01,0.0,-0.0,-0.021,-0.02,0.0,-0.0,-0.014,-0.099,0.001,-0.002,-0.058,0.609,0.002,0.017,-0.064,0.429,0.002,0.014,0.028,-0.454,0.003,-0.002,-0.0
-0.007,0.022,0.001,-0.001,-0.0,-0.001,0.011,0.003,-0.017,-0.0,-0.285,-0.176,-0.009,-0.005,0.049,0.053,-0.0,0.0,-0.247,-0.06,-0.007,-0.001,-0.275,-0.096,-0.008,-0.002,-0.382,-0.272,-0.011,-0.007,-0.066,0.052,-0.007,-0.002,0.029,0.213,-0.005,0.001,0.095,0.285,-0.004,0.002,0.096,-0.176,-0.002,-0.005,-0.088,-0.001,-0.019,-0.003,0.256,-0.068,0.003,-0.001,0.23,-0.107,0.002,-0.002,0.035,-0.27,-0.003,-0.007,0.151,0.021,-0.004,-0.002,0.074,0.025,-0.006,-0.002,-0.149,-0.244,-0.009,-0.007,0.002
0.003,-0.036,-0.002,0.0,-0.0,0.001,0.003,-0.001,-0.008,0.0,0.118,-0.111,0.003,-0.003,-0.219,0.006,-0.006,-0.0,0.362,-0.014,0.009,-0.0,0.33,-0.029,0.009,-0.001,0.075,-0.164,0.003,-0.004,0.069,-0.011,-0.001,-0.002,-0.04,0.102,-0.003,0.0,-0.248,0.207,-0.007,0.002,-0.245,-0.11,-0.005,-0.003,-0.068,-0.001,-0.01,-0.003,0.087,-0.022,0.003,-0.0,0.019,-0.041,0.001,-0.001,-0.553,-0.164,-0.01,-0.004,0.17,0.008,-0.001,-0.002,0.262,0.031,-0.001,-0.001,-0.034,-0.099,-0.004,-0.006,-0.001
-0.007,-0.02,-0.005,-0.0,-0.0,0.0,0.006,-0.001,-0.01,-0.0,0.158,-0.176,0.017,0.0,0.043,0.046,0.011,0.008,-0.006,-0.052,0.004,-0.001,0.015,-0.082,0.005,-0.002,0.284,-0.261,0.017,-0.005,0.041,-0.039,0.03,0.014,-0.144,0.139,0.03,0.022,-0.221,0.315,0.033,0.03,0.089,-0.176,0.018,0.0,0.258,0.005,-0.024,0.016,-0.252,-0.062,0.0,-0.001,-0.209,-0.101,0.002,-0.002,0.31,-0.263,0.019,-0.005,-0.201,-0.063,0.033,0.017,-0.171,0.03,0.037,0.024,0.296,-0.151,0.046,0.027,0.0
0.003,0.021,-0.007,-0.0,0.0,0.0,0.001,0.0,-0.007,0.0,0.03,-0.062,0.019,0.006,0.086,0.073,0.016,0.013,0.037,-0.051,0.005,-0.001,0.019,-0.082,0.005,-0.002,-0.005,-0.161,0.015,-0.001,0.051,0.262,0.043,0.031,-0.03,0.044,0.048,0.033,0.011,-0.244,0.056,0.036,0.008,-0.062,0.024,0.006,0.088,0.011,0.071,0.019,0.036,-0.058,0.006,-0.001,0.02,-0.091,0.008,-0.002,-0.073,-0.202,0.019,-0.002,0.059,0.442,0.054,0.041,-0.136,-0.631,0.059,0.031,0.01,0.301,0.068,0.054,-0.0
0.002,0.012,0.008,-0.0,-0.0,-0.0,-0.001,0.0,0.003,-0.0,-0.041,0.035,-0.018,-0.005,0.064,-0.022,-0.01,-0.009,-0.126,0.011,-0.008,0.0,-0.136,0.017,-0.009,0.0,-0.172,0.064,-0.017,-0.001,0.574,-0.037,-0.027,-0.021,0.218,-0.026,-0.037,-0.026,-0.514,0.001,-0.054,-0.033,0.001,0.036,-0.021,-0.005,-0.135,-0.008,0.002,-0.017,0.158,0.014,-0.004,0.0,0.13,0.025,-0.006,0.0,-0.122,0.061,-0.02,-0.001,-0.122,0.005,-0.047,-0.027,-0.243,-0.022,-0.054,-0.035,0.321,0.014,-0.058,-0.043,0.0
0.084,-0.739,0.033,0.0,-0.0,-0.001,0.001,-0.0,-0.004,-0.0,0.009,0.002,-0.039,-0.015,0.085,-0.007,-0.029,-0.022,0.051,0.002,-0.009,-0.0,0.038,0.004,-0.011,-0.001,-0.046,0.015,-0.032,-0.007,-0.047,-0.017,-0.09,-0.049,-0.142,0.004,-0.104,-0.063,0.113,0.039,-0.117,-0.081,0.046,0.002,-0.052,-0.015,0.219,-0.02,0.015,-0.033,0.05,0.004,-0.014,-0.0,0.027,0.008,-0.018,-0.001,-0.095,0.015,-0.046,-0.006,0.267,-0.006,-0.115,-0.065,-0.35,0.01,-0.135,-0.084,0.062,0.006,-0.153,-0.107,-0.0
-0.066,0.578,-0.011,-0.0,-0.0,0.001,-0.001,0.0,0.0,-0.0,0.023,0.016,0.003,0.0,0.076,0.002,0.002,-0.0,0.093,0.015,0.004,0.0,0.074,0.02,0.004,0.0,-0.058,0.029,0.002,0.001,-0.03,-0.051,0.003,-0.002,-0.189,-0.027,0.003,-0.002,0.151,0.065,0.007,0.0,0.04,0.016,0.006,0.0,0.217,0.0,0.023,0.007,0.077,0.015,0.005,0.0,0.048,0.019,0.004,0.0,-0.19,0.036,0.002,0.001,0.394,-0.089,0.014,-0.003,-0.529,0.109,0.007,0.001,0.13,-0.036,0.012,0.001,0.001
