PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75
0.0,-0.001,-0.008,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.034,-0.079,0.038,0.005,0.006,0.012,-0.01,0.004,0.616,0.049,0.051,0.001,-0.655,-0.12,0.034,-0.003,0.019,0.137,0.039,0.014,-0.008,0.022,0.026,0.022,0.0,0.005,0.017,0.028,-0.001,0.002,-0.004,0.028,0.005,-0.085,0.034,0.005,-0.009,-0.001,-0.015,-0.029,-0.229,0.059,0.049,0.001,0.224,0.09,0.053,0.001,-0.01,-0.022,0.043,0.01,-0.002,-0.003,-0.01,0.005,0.002,0.001,-0.031,0.007,0.002,0.0,-0.07,-0.005,0.004
0.001,-0.002,-0.12,-0.0,-0.001,-0.0,0.001,0.0,-0.001,-0.002,-0.056,-0.094,-0.046,-0.018,-0.006,0.56,0.015,0.015,-0.051,0.153,-0.045,-0.004,0.087,-0.294,-0.046,-0.016,0.012,0.262,-0.058,-0.013,0.004,-0.004,-0.023,-0.017,-0.001,-0.012,-0.009,-0.015,-0.013,-0.021,0.011,-0.016,0.005,-0.134,-0.046,-0.019,0.006,-0.003,-0.22,0.024,0.031,0.59,-0.052,0.002,-0.039,-0.154,-0.056,-0.013,-0.003,-0.038,-0.063,-0.019,0.002,0.002,0.005,-0.003,0.0,-0.001,0.02,0.003,0.003,-0.008,0.032,0.011,0.016
0.0,-0.001,-0.067,-0.0,-0.001,0.0,0.0,0.0,-0.0,-0.002,0.004,-0.302,0.005,-0.001,-0.027,0.446,0.006,0.009,-0.071,0.039,0.003,0.004,0.059,0.223,0.005,0.008,-0.004,0.335,0.001,0.016,-0.005,0.032,0.01,0.012,0.004,-0.019,0.011,0.015,-0.012,-0.021,0.023,0.013,0.01,-0.305,-0.01,-0.001,-0.003,0.002,0.083,-0.002,0.021,-0.471,-0.001,-0.003,-0.027,0.452,-0.004,0.011,0.0,-0.027,-0.014,0.008,0.003,0.003,-0.011,0.002,0.0,-0.001,-0.023,-0.003,-0.003,-0.011,-0.025,-0.018,-0.005
0.0,-0.0,0.0,-0.0,-0.001,0.0,0.0,0.0,-0.0,-0.002,0.015,-0.086,0.003,0.005,-0.008,0.091,-0.006,-0.001,0.041,-0.703,0.009,-0.012,-0.055,0.578,0.008,0.016,-0.003,0.09,0.002,0.013,-0.001,0.011,-0.009,0.002,0.001,-0.005,-0.011,0.0,-0.003,-0.005,-0.008,0.001,-0.004,-0.097,0.005,0.005,-0.001,0.002,0.06,-0.004,-0.021,0.303,0.012,0.009,0.025,-0.187,0.011,0.004,0.001,-0.01,0.002,0.011,0.001,0.001,-0.003,0.005,0.001,-0.0,-0.003,0.005,-0.002,-0.004,0.002,0.007,-0.017
-0.002,-0.002,-0.245,0.0,-0.002,-0.0,-0.0,0.0,0.0,-0.006,-0.012,0.028,0.081,-0.004,-0.007,-0.061,0.165,0.024,0.009,-0.028,-0.039,-0.003,-0.002,0.016,-0.033,-0.003,-0.002,-0.016,0.032,-0.018,-0.005,-0.003,0.337,0.055,-0.006,0.002,0.388,0.072,-0.003,-0.001,0.42,0.116,0.013,0.022,-0.165,-0.006,0.005,-0.002,-0.006,0.037,-0.0,-0.0,-0.189,-0.002,0.008,-0.028,-0.195,-0.005,-0.0,-0.008,-0.182,-0.01,-0.002,0.005,-0.082,-0.187,0.003,0.006,-0.131,-0.256,0.001,0.008,-0.188,-0.368,0.009
-0.0,0.001,0.004,-0.0,0.012,0.0,0.0,0.0,-0.001,0.016,-0.001,0.008,0.008,0.003,-0.002,0.018,-0.0,-0.001,0.002,0.01,0.009,0.0,-0.004,-0.015,0.01,-0.0,-0.001,-0.006,0.01,0.006,0.0,-0.0,0.003,-0.008,0.0,-0.001,0.007,-0.011,-0.0,-0.0,0.014,-0.007,-0.0,0.007,-0.002,0.003,0.003,-0.0,-0.028,-0.003,0.003,-0.003,0.002,0.0,-0.001,-0.006,0.002,0.0,0.0,0.003,-0.001,0.005,0.0,0.0,-0.013,-0.004,-0.0,0.0,-0.006,-0.007,-0.0,0.0,0.005,0.0,-0.998
-0.0,-0.0,-0.007,0.0,0.003,0.0,0.0,0.0,-0.0,0.005,0.002,0.013,0.023,-0.083,0.002,0.019,-0.099,-0.016,-0.01,0.003,0.119,-0.004,0.002,-0.004,0.119,-0.01,-0.001,-0.012,0.061,-0.074,0.003,0.006,-0.146,-0.275,0.0,0.0,0.024,-0.162,-0.009,-0.006,0.455,0.15,0.005,0.001,-0.043,-0.087,0.005,-0.045,-0.006,-0.217,0.002,0.003,0.146,-0.006,-0.008,-0.004,0.152,-0.011,-0.001,0.011,0.013,-0.083,0.007,0.003,-0.468,-0.17,0.002,-0.001,-0.251,0.005,-0.003,-0.005,0.263,0.315,0.023
-0.0,-0.001,0.003,-0.0,0.004,-0.0,0.0,0.0,0.0,0.002,0.007,-0.001,-0.003,0.234,0.006,-0.01,-0.052,0.024,0.01,0.001,0.022,0.03,-0.014,-0.023,0.034,0.05,-0.001,0.001,0.053,0.275,0.002,-0.001,-0.233,0.33,0.003,-0.001,-0.172,0.116,-0.003,0.002,0.104,-0.069,0.006,-0.01,-0.032,0.231,-0.003,0.089,-0.018,0.035,-0.002,0.011,-0.001,0.031,-0.001,0.012,0.009,0.055,-0.002,-0.018,-0.022,0.262,0.003,-0.002,-0.271,0.114,-0.001,0.006,0.038,-0.269,-0.006,0.006,0.48,-0.326,0.009
-0.0,0.0,-0.004,0.0,-0.006,-0.0,0.0,0.0,0.0,-0.006,0.003,0.0,-0.089,-0.205,0.003,-0.013,-0.039,0.056,0.001,0.001,0.097,-0.049,-0.006,0.015,0.061,-0.08,0.003,0.008,-0.177,-0.341,0.0,-0.004,-0.046,0.055,-0.0,-0.003,0.005,0.195,-0.0,0.002,0.021,-0.004,0.004,0.004,-0.056,-0.204,-0.0,0.012,0.004,-0.048,-0.009,-0.011,0.229,-0.049,0.001,-0.008,0.162,-0.085,0.002,0.015,-0.171,-0.343,-0.0,-0.006,-0.029,0.298,-0.0,-0.004,-0.023,0.252,-0.003,0.009,0.2,-0.504,-0.009
-0.0,0.0,-0.003,0.0,0.001,0.0,0.0,-0.0,0.0,-0.004,-0.001,0.01,-0.143,0.053,0.01,0.012,-0.19,-0.062,-0.017,-0.0,0.171,0.028,0.013,-0.01,0.138,0.044,0.009,-0.015,-0.305,0.176,-0.001,-0.0,-0.001,-0.05,-0.002,-0.004,0.07,0.128,0.001,-0.006,-0.086,0.299,0.005,0.02,-0.147,0.061,-0.001,0.012,-0.013,-0.168,-0.005,0.002,0.313,0.028,-0.007,0.003,0.25,0.047,0.005,-0.016,-0.425,0.217,-0.004,0.006,0.207,-0.312,-0.002,0.001,0.195,-0.085,0.001,-0.0,-0.092,0.009,-0.002
-0.0,0.0,-0.013,0.0,0.01,-0.0,0.0,0.0,-0.0,0.019,-0.006,-0.011,0.19,0.048,0.003,0.007,-0.109,-0.07,-0.014,0.005,0.362,0.034,-0.005,-0.01,0.36,0.054,-0.0,-0.008,0.176,0.135,-0.003,0.004,0.14,-0.165,-0.002,0.003,0.142,-0.178,0.0,0.007,-0.046,-0.401,0.007,0.017,-0.211,0.054,0.0,0.001,-0.003,-0.023,0.005,0.007,-0.118,0.033,0.001,-0.001,-0.117,0.054,0.004,-0.003,-0.333,0.138,-0.0,-0.006,-0.04,0.281,-0.001,-0.005,0.031,0.274,0.0,-0.0,-0.011,0.018,0.018
-0.0,-0.0,-0.012,0.0,-0.001,-0.0,0.0,0.0,0.0,-0.003,-0.013,-0.013,0.23,-0.103,0.007,0.009,-0.087,0.003,-0.0,0.0,0.176,-0.01,-0.002,0.002,0.19,-0.018,-0.006,0.01,0.324,-0.157,0.002,-0.001,0.073,-0.003,0.002,-0.005,-0.127,0.191,0.006,-0.006,-0.437,0.382,0.003,0.014,-0.077,-0.097,-0.007,-0.022,-0.0,0.184,0.003,0.0,-0.2,-0.012,0.003,-0.001,-0.203,-0.022,0.003,0.002,-0.087,-0.128,0.001,0.006,-0.073,-0.305,-0.0,0.001,-0.017,-0.065,-0.004,-0.001,0.278,0.005,-0.002
-0.0,-0.0,-0.001,0.0,-0.003,-0.0,-0.0,-0.0,0.0,-0.003,0.004,0.008,0.071,-0.054,0.001,-0.019,-0.012,0.137,-0.007,0.0,0.202,-0.049,-0.005,0.009,0.168,-0.081,-0.001,0.007,0.059,-0.202,0.003,-0.005,-0.221,0.328,0.002,0.002,-0.182,-0.041,-0.002,0.003,0.221,-0.098,-0.003,-0.015,-0.059,-0.062,-0.002,0.088,0.003,0.096,-0.001,-0.005,0.029,-0.05,0.005,0.001,-0.034,-0.086,0.004,0.008,-0.231,-0.244,-0.002,-0.001,0.17,0.163,-0.001,0.008,0.132,-0.488,0.002,-0.005,-0.208,0.312,-0.001
-0.0,0.0,0.001,0.0,0.004,0.0,0.0,0.0,-0.0,0.008,-0.007,-0.044,-0.046,-0.047,0.001,0.001,0.005,0.001,0.002,-0.002,-0.09,-0.028,0.007,0.005,-0.106,-0.043,0.004,0.012,-0.132,-0.077,-0.006,-0.004,0.436,0.227,-0.003,-0.0,0.3,0.069,0.004,0.005,-0.378,-0.284,0.005,0.039,-0.031,-0.033,0.004,-0.002,-0.004,-0.212,-0.001,-0.001,0.122,-0.026,-0.005,0.003,0.129,-0.038,-0.001,-0.004,-0.043,-0.059,0.003,-0.0,-0.304,0.058,0.0,0.004,-0.017,-0.297,-0.002,-0.004,0.193,0.283,0.001
-0.0,-0.0,0.003,-0.0,0.004,0.0,0.0,-0.0,-0.0,0.004,0.001,0.007,-0.012,0.032,-0.004,-0.0,0.184,0.009,-0.0,0.001,0.068,0.019,-0.003,-0.005,0.045,0.025,0.003,-0.005,-0.17,0.066,-0.003,0.001,0.227,-0.064,0.002,0.002,-0.162,-0.111,0.001,-0.001,-0.019,0.042,-0.003,0.001,0.089,0.031,-0.005,0.076,-0.009,0.282,-0.003,0.001,0.119,0.015,0.001,-0.001,0.069,0.023,0.002,-0.002,-0.137,0.064,-0.002,-0.002,0.343,0.117,0.006,0.002,-0.7,-0.109,-0.001,-0.001,0.229,0.074,0.002
-0.0,-0.0,0.004,-0.0,0.006,-0.0,0.0,0.0,-0.0,0.012,-0.005,0.068,-0.015,-0.025,0.003,0.005,-0.059,-0.08,0.004,0.001,-0.09,0.011,0.002,-0.001,-0.052,0.016,-0.0,-0.001,0.088,0.033,-0.0,0.006,0.049,-0.319,-0.001,0.004,0.07,-0.291,0.002,-0.008,-0.138,0.471,0.002,-0.069,-0.003,-0.028,0.001,-0.056,0.002,-0.083,0.0,-0.0,-0.035,0.009,-0.002,-0.0,0.035,0.011,0.0,0.001,-0.009,0.05,0.0,-0.01,-0.045,0.591,-0.001,0.006,0.14,-0.358,-0.0,0.002,-0.021,-0.095,0.002
-0.0,0.0,0.001,0.0,0.008,0.0,-0.0,-0.0,-0.0,0.009,0.003,-0.398,0.025,-0.012,-0.01,0.008,0.346,0.02,-0.004,-0.002,0.074,-0.007,-0.001,-0.002,0.038,-0.008,0.001,0.004,-0.126,0.031,0.001,0.001,-0.013,-0.063,-0.0,0.001,0.01,-0.102,0.001,-0.002,-0.041,0.093,0.002,0.403,0.089,0.007,-0.008,0.077,-0.01,0.504,-0.002,0.008,0.16,0.0,-0.003,-0.002,0.107,-0.002,-0.001,-0.008,-0.067,0.04,0.003,-0.0,-0.365,0.023,-0.001,-0.001,0.205,0.05,0.001,-0.0,-0.136,0.016,0.002
-0.0,0.0,0.003,0.0,-0.003,0.0,-0.0,-0.0,-0.0,0.0,0.002,0.577,0.013,0.012,-0.006,-0.018,0.244,0.03,-0.004,0.003,0.065,-0.003,0.0,0.003,0.042,-0.003,0.002,-0.012,-0.106,0.015,-0.0,0.002,0.025,-0.016,0.0,0.001,0.024,-0.008,0.001,0.0,-0.063,-0.016,0.002,-0.574,0.061,-0.01,-0.006,0.038,0.008,0.349,-0.002,-0.015,0.111,-0.002,-0.001,0.002,0.075,-0.001,-0.001,0.006,-0.058,0.02,0.003,0.0,-0.271,-0.051,-0.001,-0.001,0.132,0.068,0.001,-0.0,-0.073,0.04,0.001
-0.0,0.0,-0.002,0.0,-0.004,-0.0,0.0,0.0,-0.0,-0.002,-0.006,0.009,0.111,0.061,-0.001,-0.004,0.068,0.084,0.005,0.0,-0.125,-0.033,0.002,0.001,-0.133,-0.044,-0.002,0.002,0.137,-0.01,-0.003,-0.003,0.405,0.266,0.004,0.008,-0.476,-0.475,0.0,-0.002,0.073,0.119,0.002,-0.013,-0.004,0.051,0.004,0.046,-0.003,-0.218,-0.002,-0.001,0.086,-0.027,-0.001,0.001,0.064,-0.047,0.003,0.001,-0.219,-0.055,-0.0,0.002,-0.054,-0.115,-0.001,-0.003,0.147,0.216,-0.0,0.001,0.001,-0.086,0.001
-0.0,-0.0,0.001,-0.0,-0.003,-0.0,-0.0,-0.0,0.0,-0.003,-0.001,-0.006,-0.037,-0.094,-0.001,0.004,-0.03,-0.114,-0.001,-0.001,0.044,0.041,-0.002,-0.002,0.084,0.054,0.003,-0.003,-0.154,0.037,-0.003,0.004,0.408,-0.282,0.005,-0.008,-0.541,0.461,-0.002,0.001,0.208,-0.117,-0.0,0.017,-0.008,-0.092,0.001,-0.137,0.002,-0.007,0.002,0.0,-0.092,0.031,0.001,-0.001,-0.021,0.046,-0.002,-0.003,0.109,0.073,0.001,-0.002,-0.1,0.107,-0.002,0.002,0.16,-0.139,0.0,-0.001,-0.063,0.041,-0.002
-0.0,0.0,-0.002,0.0,0.012,0.0,0.0,-0.0,-0.0,0.017,-0.004,-0.001,0.187,0.004,-0.009,-0.002,0.434,0.053,0.008,0.001,-0.279,-0.035,0.001,0.001,-0.19,-0.039,-0.007,-0.004,0.442,0.061,0.003,0.004,-0.177,-0.274,0.001,-0.005,-0.037,0.319,0.001,0.002,-0.036,-0.137,0.002,0.006,-0.056,0.0,0.003,-0.005,-0.0,-0.164,-0.004,-0.002,0.17,-0.019,-0.002,-0.001,0.179,-0.017,0.005,0.0,-0.352,0.028,-0.001,-0.001,0.086,0.022,-0.0,0.001,-0.006,-0.035,-0.001,-0.001,0.024,0.044,0.002
-0.0,0.0,-0.0,0.0,0.052,-0.0,0.0,0.0,-0.0,0.075,0.001,0.005,-0.026,-0.012,-0.0,-0.006,-0.016,0.171,-0.004,0.003,0.077,-0.4,0.001,0.019,0.052,-0.534,0.001,-0.006,-0.058,0.219,-0.0,0.004,0.04,-0.153,-0.0,-0.001,-0.016,0.027,0.001,0.0,-0.02,0.006,0.001,-0.003,-0.077,-0.017,0.001,0.272,-0.005,-0.049,0.002,-0.0,-0.047,-0.324,-0.0,0.012,-0.049,-0.44,-0.002,-0.006,0.131,0.158,-0.0,0.0,0.014,-0.011,0.0,-0.0,-0.001,0.001,-0.0,0.001,0.007,-0.026,0.004
-0.0,-0.0,0.003,-0.0,-0.002,0.0,0.0,0.0,0.0,-0.008,-0.005,-0.001,-0.022,-0.012,0.014,0.001,-0.596,-0.124,0.007,0.001,-0.242,-0.096,0.004,0.004,-0.166,-0.118,-0.002,0.001,0.21,0.025,-0.001,-0.0,0.069,0.0,-0.001,-0.001,0.051,0.065,-0.002,0.001,0.108,-0.083,-0.003,0.001,0.358,-0.014,-0.008,-0.097,0.003,0.377,-0.001,0.001,-0.036,-0.074,-0.003,0.001,0.18,-0.083,0.004,-0.001,-0.322,0.035,0.001,-0.0,-0.071,0.006,0.001,-0.0,-0.054,0.027,0.001,-0.0,-0.063,0.011,-0.0
-0.0,-0.0,0.002,-0.0,-0.572,-0.0,0.0,-0.0,0.0,-0.811,-0.0,-0.004,0.014,-0.011,0.0,-0.005,0.021,0.043,-0.0,0.002,0.012,-0.034,0.001,-0.001,0.01,-0.044,-0.0,0.001,-0.006,0.017,0.0,0.0,-0.006,-0.02,-0.0,-0.0,0.006,-0.006,0.0,0.0,-0.011,-0.005,-0.0,0.007,0.01,-0.014,-0.0,-0.011,0.004,-0.018,-0.0,0.001,-0.008,-0.033,0.0,0.003,-0.009,-0.049,0.0,-0.005,-0.008,0.062,0.0,-0.0,-0.008,0.018,0.0,0.0,-0.003,0.001,-0.0,-0.0,0.008,0.008,-0.02
-0.0,0.0,0.0,-0.0,0.01,-0.0,0.0,0.0,-0.0,0.014,0.002,0.018,-0.131,-0.387,-0.003,0.007,0.111,-0.347,-0.0,-0.001,-0.03,-0.054,0.0,0.001,0.014,-0.069,-0.003,-0.001,0.184,0.03,0.001,-0.007,-0.041,0.318,0.0,0.001,-0.011,-0.086,-0.001,-0.0,0.044,0.015,0.005,0.004,-0.345,-0.334,-0.002,-0.298,0.003,0.122,-0.001,0.001,0.049,-0.05,-0.002,0.0,0.136,-0.048,-0.001,-0.012,0.111,0.403,-0.001,-0.001,0.064,0.024,0.0,-0.001,-0.038,0.04,-0.0,-0.0,0.01,0.024,-0.0
-0.0,-0.0,-0.0,0.0,-0.027,0.0,-0.0,-0.0,0.0,-0.044,0.004,-0.0,-0.392,0.126,0.004,-0.0,-0.181,0.093,0.003,-0.001,-0.045,0.056,-0.001,-0.002,-0.062,0.074,-0.005,0.003,0.342,-0.044,-0.002,0.002,0.156,-0.12,-0.0,0.0,-0.017,0.009,-0.0,0.0,0.016,-0.044,0.007,-0.007,-0.528,0.132,-0.004,0.338,-0.008,0.253,-0.004,-0.0,0.203,0.056,-0.002,-0.002,0.117,0.077,-0.002,0.004,0.204,-0.169,-0.0,0.0,0.032,-0.021,0.0,0.0,0.011,-0.009,0.001,-0.0,-0.034,0.01,-0.0
-0.0,0.0,-0.001,-0.0,-0.002,-0.0,0.0,0.0,0.0,-0.002,0.001,-0.007,-0.035,0.049,-0.001,-0.003,0.091,0.116,0.003,-0.001,-0.212,0.018,-0.005,0.0,0.341,0.008,0.001,0.001,-0.078,0.014,0.0,-0.0,-0.015,0.026,0.0,0.001,0.003,-0.031,0.0,-0.0,-0.025,0.011,0.001,0.002,-0.093,0.035,-0.0,-0.001,0.002,0.002,0.007,0.0,-0.596,0.006,-0.007,0.0,0.652,-0.009,-0.0,0.003,0.006,-0.109,-0.0,0.001,0.024,-0.034,0.0,-0.0,-0.004,0.013,-0.0,0.0,0.003,-0.007,-0.0
-0.0,0.0,-0.0,0.0,0.021,0.0,0.0,0.0,-0.0,0.021,-0.002,0.002,0.131,-0.04,0.002,-0.005,-0.09,0.259,0.003,-0.001,-0.125,0.04,-0.001,-0.0,0.034,0.057,0.001,0.014,-0.048,-0.642,0.0,0.002,-0.004,-0.073,0.0,0.0,-0.014,-0.01,-0.0,0.001,0.01,-0.033,-0.0,-0.003,0.013,0.014,0.0,0.272,-0.005,-0.012,-0.0,-0.002,-0.016,0.048,0.0,0.0,0.019,0.044,0.0,-0.013,0.005,0.618,0.0,-0.0,-0.007,-0.001,-0.0,0.0,0.006,-0.007,0.0,0.0,-0.011,-0.007,0.0
-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.04,0.0,-0.017,-0.032,0.273,0.001,-0.011,-0.037,0.468,0.001,-0.001,-0.063,-0.001,-0.002,0.002,0.083,-0.051,0.0,0.002,-0.018,-0.105,-0.0,0.001,0.022,-0.044,-0.0,0.0,0.008,-0.017,0.0,0.0,-0.017,-0.001,0.003,0.008,-0.18,0.151,-0.002,-0.737,0.015,0.116,-0.002,0.001,0.15,-0.065,0.001,0.003,-0.055,-0.165,-0.001,-0.001,0.044,0.044,-0.0,-0.0,0.016,0.018,0.0,-0.0,-0.011,0.007,-0.0,-0.0,0.016,0.009,0.0
-0.0,-0.0,-0.0,0.0,-0.016,0.0,0.0,-0.0,0.0,-0.009,-0.011,0.007,0.728,-0.007,0.004,0.001,-0.203,-0.102,0.002,0.002,-0.102,-0.043,0.004,-0.0,-0.247,-0.021,0.004,-0.001,-0.29,0.068,0.001,0.001,-0.055,-0.021,0.0,0.0,-0.016,-0.003,-0.0,0.0,0.015,-0.013,0.005,-0.007,-0.407,0.052,-0.002,0.019,-0.001,0.142,-0.001,-0.001,0.079,0.02,-0.002,-0.001,0.141,0.045,-0.002,0.002,0.143,-0.104,-0.0,-0.0,0.037,0.025,-0.0,0.0,-0.007,-0.005,0.0,-0.0,-0.002,0.009,0.0
-0.0,0.0,-0.001,0.0,-0.008,0.0,-0.0,-0.0,-0.0,0.032,-0.001,0.006,0.048,-0.294,0.002,-0.01,-0.111,0.499,-0.001,-0.011,0.096,0.447,0.003,-0.004,-0.192,0.27,-0.0,-0.008,0.018,0.336,-0.0,-0.0,-0.0,0.003,-0.0,0.0,0.014,-0.012,0.0,0.0,-0.011,-0.022,-0.0,0.009,0.022,-0.331,-0.0,0.1,-0.002,0.016,0.001,-0.0,-0.045,0.017,-0.001,0.006,0.046,-0.296,0.0,-0.002,-0.006,0.051,0.0,-0.0,-0.01,0.002,0.0,0.0,-0.0,-0.003,0.0,0.0,-0.003,-0.015,0.0
-0.0,-0.0,0.0,0.0,0.006,0.0,-0.0,-0.0,0.0,-0.007,-0.002,0.004,0.069,-0.156,0.002,-0.003,-0.079,0.133,0.008,0.002,-0.601,-0.073,-0.006,-0.001,0.564,0.02,0.001,-0.005,-0.056,0.217,-0.0,-0.001,0.002,0.031,-0.0,0.0,0.012,-0.028,0.0,0.0,-0.003,-0.008,0.0,0.003,0.009,-0.171,-0.0,0.103,-0.002,0.015,-0.003,-0.001,0.258,0.075,0.003,-0.003,-0.262,0.155,-0.0,0.001,0.016,-0.062,0.0,0.0,-0.011,0.001,0.0,-0.0,0.002,-0.001,0.0,0.0,-0.004,-0.001,0.0
-0.0,0.0,-0.0,-0.0,0.031,0.0,0.0,-0.0,-0.0,-0.011,0.0,0.001,-0.043,-0.131,0.001,-0.008,-0.04,0.404,-0.002,0.01,0.195,-0.434,0.003,0.002,-0.203,-0.158,-0.0,-0.003,0.027,0.14,-0.0,-0.0,0.008,0.005,-0.0,0.0,0.003,-0.014,0.0,0.0,-0.009,-0.005,-0.0,0.006,0.025,-0.197,-0.0,-0.065,0.001,0.001,0.001,-0.006,-0.087,0.251,-0.001,-0.012,0.07,0.617,0.0,-0.0,-0.008,0.031,0.0,-0.0,-0.002,0.005,0.0,0.0,-0.002,-0.007,0.0,0.0,0.002,-0.01,0.0
-0.0,0.0,0.0,-0.0,0.817,0.0,-0.0,-0.0,0.0,-0.574,0.0,0.002,0.008,-0.002,-0.0,-0.001,-0.001,0.01,-0.0,-0.001,0.001,0.033,-0.0,-0.0,-0.003,0.006,-0.0,0.0,-0.003,0.003,-0.0,-0.0,0.001,-0.002,0.0,-0.0,-0.001,-0.003,0.0,-0.0,-0.001,-0.002,-0.0,-0.002,-0.007,0.007,0.0,-0.016,0.001,0.001,0.0,0.0,0.002,-0.034,0.0,0.0,0.0,-0.019,0.0,-0.001,0.002,-0.003,-0.0,0.0,-0.0,0.004,0.0,0.0,0.001,0.002,-0.0,0.0,0.001,0.001,0.001
-0.0,-0.0,-0.0,-0.0,0.008,0.0,-0.0,-0.0,0.0,0.001,0.0,0.0,-0.003,-0.021,-0.0,0.0,-0.001,0.015,-0.0,0.012,0.015,-0.615,0.0,-0.014,-0.016,0.741,-0.0,-0.0,0.001,0.004,0.0,0.0,-0.0,-0.001,-0.0,-0.0,0.0,0.002,-0.0,0.0,-0.0,-0.001,-0.0,0.0,-0.002,0.003,0.0,0.006,-0.0,0.001,0.0,0.002,-0.008,-0.177,-0.0,0.004,0.01,-0.197,0.0,0.0,0.001,-0.003,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.002,0.0,-0.0,0.0,0.001,-0.0
-0.0,0.0,0.0,0.0,0.022,0.0,0.0,-0.0,-0.0,-0.018,0.0,0.002,-0.008,0.01,-0.0,0.0,0.008,-0.06,-0.0,0.003,-0.003,-0.18,0.0,-0.0,0.01,-0.057,-0.0,0.0,0.005,-0.009,0.0,-0.0,-0.001,0.001,-0.0,-0.0,0.001,0.005,0.0,0.0,0.001,0.0,-0.0,-0.002,0.004,0.028,0.0,-0.002,-0.0,-0.002,0.0,-0.013,0.002,0.874,-0.0,0.007,-0.005,-0.442,0.0,-0.0,-0.002,0.0,0.0,0.0,0.001,-0.001,-0.0,-0.0,-0.002,0.001,-0.0,-0.0,0.001,0.002,0.0
-0.0,0.0,0.0,-0.0,-0.006,-0.0,-0.0,-0.0,0.0,0.005,0.0,0.013,-0.03,-0.687,-0.0,-0.002,0.002,0.085,-0.0,-0.0,0.005,0.003,-0.0,0.0,0.009,-0.018,-0.0,-0.0,0.009,0.03,-0.0,0.0,0.001,-0.009,0.0,0.0,-0.004,-0.003,-0.0,-0.0,0.004,0.002,-0.0,-0.014,0.019,0.716,-0.0,-0.063,0.001,-0.001,0.0,-0.0,-0.001,-0.004,0.0,-0.0,-0.009,0.013,0.0,0.001,-0.007,-0.03,0.0,-0.0,-0.001,0.001,0.0,0.0,-0.001,-0.001,0.0,0.0,-0.0,-0.003,-0.0
